Country,Year,Sex,NEET_Rate,Education_Expenditure
AT,2015,Females,9.7,51.1
AT,2015,Males,8.4,51.1
AT,2016,Females,10.0,50.1
AT,2016,Males,8.6,50.1
AT,2017,Females,9.6,49.3
AT,2017,Males,7.9,49.3
AT,2018,Females,10.4,48.8
AT,2018,Males,7.2,48.8
AT,2019,Females,10.3,48.7
AT,2019,Males,7.0,48.7
AT,2020,Females,10.2,56.8
AT,2020,Males,9.6,56.8
AT,2021,Females,10.3,56.2
AT,2021,Males,8.5,56.2
AT,2022,Females,9.6,53.2
AT,2022,Males,8.5,53.2
BE,2015,Females,15.0,53.7
BE,2015,Males,12.2,53.7
BE,2016,Females,14.0,53.1
BE,2016,Males,10.6,53.1
BE,2017,Females,13.2,52.0
BE,2017,Males,10.5,52.0
BE,2018,Females,13.1,52.3
BE,2018,Males,9.7,52.3
BE,2019,Females,12.5,51.9
BE,2019,Males,9.8,51.9
BE,2020,Females,12.4,58.8
BE,2020,Males,10.3,58.8
BE,2021,Females,9.7,54.8
BE,2021,Males,10.4,54.8
BE,2022,Females,9.1,53.2
BE,2022,Males,9.3,53.2
BG,2015,Females,24.8,40.4
BG,2015,Males,19.8,40.4
BG,2016,Females,25.9,34.8
BG,2016,Males,19.0,34.8
BG,2017,Females,23.3,34.8
BG,2017,Males,14.8,34.8
BG,2018,Females,21.9,37.0
BG,2018,Males,14.6,37.0
BG,2019,Females,20.4,36.3
BG,2019,Males,13.2,36.3
BG,2020,Females,21.7,41.5
BG,2020,Males,14.8,41.5
BG,2021,Females,20.9,41.7
BG,2021,Males,14.5,41.7
BG,2022,Females,16.9,41.4
BG,2022,Males,12.7,41.4
CH,2015,Females,7.7,33.6
CH,2015,Males,7.0,33.6
CH,2016,Females,7.8,33.7
CH,2016,Males,7.3,33.7
CH,2017,Females,7.1,33.7
CH,2017,Males,7.3,33.7
CH,2018,Females,6.5,33.0
CH,2018,Males,6.6,33.0
CH,2019,Females,6.0,33.3
CH,2019,Males,6.5,33.3
CH,2020,Females,5.9,38.3
CH,2020,Males,6.6,38.3
CY,2015,Females,19.2,40.4
CY,2015,Males,17.7,40.4
CY,2016,Females,19.5,37.3
CY,2016,Males,16.4,37.3
CY,2017,Females,19.3,36.4
CY,2017,Males,15.7,36.4
CY,2018,Females,15.5,42.6
CY,2018,Males,14.2,42.6
CY,2019,Females,15.9,38.5
CY,2019,Males,12.2,38.5
CY,2020,Females,16.3,44.2
CY,2020,Males,14.2,44.2
CY,2021,Females,16.3,41.9
CY,2021,Males,14.5,41.9
CY,2022,Females,17.0,38.8
CY,2022,Males,12.3,38.8
CZ,2015,Females,17.2,41.9
CZ,2015,Males,6.6,41.9
CZ,2016,Females,16.8,39.8
CZ,2016,Males,5.6,39.8
CZ,2017,Females,15.5,39.0
CZ,2017,Males,4.6,39.0
CZ,2018,Females,15.3,40.6
CZ,2018,Males,4.0,40.6
CZ,2019,Females,15.9,41.1
CZ,2019,Males,4.0,41.1
CZ,2020,Females,17.6,47.2
CZ,2020,Males,4.7,47.2
CZ,2021,Females,17.3,46.5
CZ,2021,Males,4.8,46.5
CZ,2022,Females,17.1,44.6
CZ,2022,Males,6.1,44.6
DE,2015,Females,12.1,44.1
DE,2015,Males,7.3,44.1
DE,2016,Females,12.5,44.4
DE,2016,Males,7.8,44.4
DE,2017,Females,12.0,44.2
DE,2017,Males,7.4,44.2
DE,2018,Females,11.3,44.3
DE,2018,Males,6.8,44.3
DE,2019,Females,11.0,45.0
DE,2019,Males,6.5,45.0
DE,2020,Females,10.7,50.5
DE,2020,Males,8.6,50.5
DE,2021,Females,10.9,50.9
DE,2021,Males,8.1,50.9
DE,2022,Females,10.2,49.5
DE,2022,Males,7.1,49.5
DK,2015,Females,8.9,54.5
DK,2015,Males,8.2,54.5
DK,2016,Females,8.7,52.5
DK,2016,Males,8.2,52.5
DK,2017,Females,10.5,50.5
DK,2017,Males,9.1,50.5
DK,2018,Females,9.7,50.5
DK,2018,Males,9.5,50.5
DK,2019,Females,9.6,49.7
DK,2019,Males,9.5,49.7
DK,2020,Females,10.5,53.5
DK,2020,Males,9.9,53.5
DK,2021,Females,8.9,49.8
DK,2021,Males,8.0,49.8
DK,2022,Females,8.3,45.0
DK,2022,Males,7.6,45.0
EA20,2015,Females,16.7,48.5
EA20,2015,Males,14.0,48.5
EA20,2016,Females,16.2,47.7
EA20,2016,Males,13.2,47.7
EA20,2017,Females,15.6,47.1
EA20,2017,Males,12.6,47.1
EA20,2018,Females,14.9,46.9
EA20,2018,Males,11.9,46.9
EA20,2019,Females,14.3,46.9
EA20,2019,Males,11.5,46.9
EA20,2020,Females,15.0,53.5
EA20,2020,Males,13.1,53.5
EA20,2021,Females,13.8,52.2
EA20,2021,Males,12.3,52.2
EA20,2022,Females,12.5,50.4
EA20,2022,Males,10.8,50.4
EE,2015,Females,16.2,39.5
EE,2015,Males,8.7,39.5
EE,2016,Females,17.9,39.4
EE,2016,Males,8.9,39.4
EE,2017,Females,12.6,39.2
EE,2017,Males,8.5,39.2
EE,2018,Females,13.2,39.3
EE,2018,Males,9.7,39.3
EE,2019,Females,12.2,39.1
EE,2019,Males,7.3,39.1
EE,2020,Females,12.9,44.9
EE,2020,Males,9.3,44.9
EE,2021,Females,11.7,41.9
EE,2021,Males,10.7,41.9
EE,2022,Females,9.2,39.8
