STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,sex,Sex,age,Age class,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag),LAST UPDATE
dataflow,ESTAT:SDG_08_20(1.0),Young people neither in employment nor in education and training by sex (NEET),A,Annual,F,Females,Y15-29,From 15 to 29 years,PC_POP,Percentage of total population,AT,Austria,2009,,11.9,,,,02/05/24 23:00:00
dataflow,ESTAT:SDG_08_20(1.0),Young people neither in employment nor in education and training by sex (NEET),A,Annual,F,Females,Y15-29,From 15 to 29 years,PC_POP,Percentage of total population,AT,Austria,2010,,11.2,,,,02/05/24 23:00:00
dataflow,ESTAT:SDG_08_20(1.0),Young people neither in employment nor in education and training by sex (NEET),A,Annual,F,Females,Y15-29,From 15 to 29 years,PC_POP,Percentage of total population,AT,Austria,2011,,10.4,,,,02/05/24 23:00:00
dataflow,ESTAT:SDG_08_20(1.0),Young people neither in employment nor in education and training by sex (NEET),A,Annual,F,Females,Y15-29,From 15 to 29 years,PC_POP,Percentage of total population,AT,Austria,2012,,10.1,,,,02/05/24 23:00:00
dataflow,ESTAT:SDG_08_20(1.0),Young people neither in employment nor in education and training by sex (NEET),A,Annual,F,Females,Y15-29,From 15 to 29 years,PC_POP,Percentage of total population,AT,Austria,2013,,10.3,,,,02/05/24 23:00:00
dataflow,ESTAT:SDG_08_20(1.0),Young people neither in employment nor in education and training by sex (NEET),A,Annual,F,Females,Y15-29,From 15 to 29 years,PC_POP,Percentage of total population,AT,Austria,2014,,10.9,,,,02/05/24 23:00:00
dataflow,ESTAT:SDG_08_20(1.0),Young people neither in employment nor in education and training by sex (NEET),A,Annual,F,Females,Y15-29,From 15 to 29 years,PC_POP,Percentage of total population,AT,Austria,2015,,9.7,,,,02/05/24 23:00:00
dataflow,ESTAT:SDG_08_20(1.0),Young people neither in employment nor in education and training by sex (NEET),A,Annual,F,Females,Y15-29,From 15 to 29 years,PC_POP,Percentage of total population,AT,Austria,2016,,10.0,,,,02/05/24 23:00:00
dataflow,ESTAT:SDG_08_20(1.0),Young people neither in employment nor in education and training by sex (NEET),A,Annual,F,Females,Y15-29,From 15 to 29 years,PC_POP,Percentage of total population,AT,Austria,2017,,9.6,,,,02/05/24 23:00:00
dataflow,ESTAT:SDG_08_20(1.0),Young people neither in employment nor in education and training by sex (NEET),A,Annual,F,Females,Y15-29,From 15 to 29 years,PC_POP,Percentage of total population,AT,Austria,2018,,10.4,,,,02/05/24 23:00:00
